ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
424,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day20,5mg/L_8weekexposure_day20,10,10,,,,,,,,,8,8,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
425,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day30,5mg/L_8weekexposure_day30,10,10,,,,,,,,,8,8,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
426,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day5,20mg/L_8weekexposure_day5,10,10,,,,,,,,,10,8,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
427,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day10,20mg/L_8weekexposure_day10,10,10,,,,,,,,,10,7,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
428,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day15,20mg/L_8weekexposure_day15,10,10,,,,,,,,,8,6,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
429,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day20,20mg/L_8weekexposure_day20,10,10,,,,,,,,,8,2,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
430,Hagen et al. 2012. Aquatic Toxicology,51,BW,Carassius auratus,Fish,Trypanosoma carassii,Protozoan,Experimental,Naphthenic acids,Pollution,Percent survival,Survivorship,Infected demographic,yes,Contingency table,Control_8weekexposure_day30,20mg/L_8weekexposure_day30,10,10,,,,,,,,,8,1,OR,,,,,,,,,,,,,,,,,Digitized from Fig 6a,"N in figure legend is incorrect, correct N in Methods section"
431,Retschnig et al. 2015. Environ Microbiol,52,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Pesticides (thiacloprid and tau-fluvalinate),Toxin,Survivorship,Survivorship,Uninfected demographic,yes,,Control,Pesticide,594,594,,,,,,,,,333,275,OR,,,,,,,,,,,,,,,,,Figure 1,"Only included data from Location A, since the authors don't give the N for the treatments on site B. Focus on day 14"
432,Retschnig et al. 2015. Environ Microbiol,52,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Pesticides (thiacloprid and tau-fluvalinate),Toxin,Survivorship,Survivorship,Infected demographic,yes,,N.ceranae,N.ceranae_Pesticide,594,594,,,,,,,,,291,274,OR,,,,,,,,,,,,,,,,,Figure 1,"Only included data from Location A, since the authors don't give the N for the treatments on site B. Focus on day 15"
433,Retschnig et al. 2015. Environ Microbiol,52,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Pesticides (thiacloprid and tau-fluvalinate),Toxin,Pathogen quantification,Intensity,Epidemiological,yes,Wilcoxon rank-sum test,N.ceranae,N.ceranae_Pesticide,60,60,14320000,5730000,,,14560000,6310000,,,,,SD,,,,,,,,,,,,,,,,,Text - Results,"Only included data from Location A, since the authors don't give the N for the treatments on site B. Focus on day 16"
434,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Proportion of gravid females,Fecundity,Uninfected demographic,yes,Chi square,Control,Predator,78,76,0.64,,0.54,0.75,0.57,,0.45,0.68,,,CI,,,,,,6.63,1,,,,,,,,,,Figure 3a,
435,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Mean number of eggs,Fecundity,Uninfected demographic,yes,,Control,Predator,50,43,139.46,4.77,,,142.49,5.57,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,
436,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Longevity,Survivorship,Uninfected demographic,yes,,Control,Predator,46,50,8.78,,7.61,9.95,7.64,,6.66,8.62,,,CI,,,,,,,,,,,,,,,,,Excel with raw data,
437,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Proportion of gravid females,Fecundity,Infected demographic,yes,,Control_Plasmodium,Predator_Plasmodium,72,84,0.66,,0.54,0.76,0.61,,0.5,0.71,,,CI,,,,,,,,,,,,,,,,,Figure 3a,
438,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Mean number of eggs,Fecundity,Infected demographic,yes,,Control_Plasmodium,Predator_Plasmodium,46,51,137.66,6.1,,,123.19,4.24,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,
439,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Longevity,Survivorship,Infected demographic,yes,Chi square,Control_Plasmodium,Predator_Plasmodium,57,50,8.93,,7.99,9.87,7.8,,7.18,8.42,,,CI,,,,,,0.34,1,,,,,,,,,,Excel with raw data,
440,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Infection intensity,Intensity,Epidemiological,yes,Chi square,Control_Plasmodium,Predator_Plasmodium,134,138,21.3,2.6,,,23.6,2.7,,,,,SE,,,,,,0.07,1,,,,,,,,,,Text Results Competence,
441,Roux et al. 2015. RS Procee B,53,AVS,Anopheles coluzzii,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Predator exposure_Anisops jaczewskii,Ecological,Prevalence,Prevalence,Epidemiological,yes,Chi square,Control_Plasmodium,Predator_Plasmodium,134,138,53.7,,45.3,62.1,60.8,,52.7,68.9,,,CI,,,,,,0.58,1,,,,,,,,,,Text Results Competence,
442,Paull et al. 2012. Global Change Biology,54,MFY,Pseudacris regilla,Amphibian,Ribeiroia ondatrae,Helminth,Experimental,Temperature,Environment,Parasite burden,Intensity,Epidemiological,yes,Comparison,17C,20C,6,6,11.29,0.77,,,12.79,0.73,,,,,SE,,,,,,,,,,,,,,,,,Results page 5,"Authors test a natural range of temperatures, gradient direction based on expectations of future global warming in which the paper is framed."
443,Paull et al. 2012. Global Change Biology,54,MFY,Pseudacris regilla,Amphibian,Ribeiroia ondatrae,Helminth,Experimental,Temperature,Environment,Parasite burden,Intensity,Epidemiological,yes,Comparison,17C,26C,6,6,11.29,0.77,,,8.93,0.83,,,,,SE,,,,,,,,,,,,,,,,,Results page 5,"Authors test a natural range of temperatures, gradient direction based on expectations of future global warming in which the paper is framed."
444,Paull et al. 2012. Global Change Biology,54,MK,Pseudacris regilla,Amphibian,Ribeiroia ondatrae,Helminth,Experimental,Temperature,Environment,Average Percent Mortality,Survivorship,Infected demographic,yes,Comparison,17C,20C,6,6,25.87,,10.93,41.07,19.47,,5.6,33.6,,,CI,,,,,,,,,,,,,,,,,Figure 4,"Authors test a natural range of temperatures, gradient direction based on expectations of future global warming in which the paper is framed. Only shows Infected demographicand graph also shows malformation"
445,Paull et al. 2012. Global Change Biology,54,MK,Pseudacris regilla,Amphibian,Ribeiroia ondatrae,Helminth,Experimental,Temperature,Environment,Average Percent Mortality,Survivorship,Infected demographic,yes,Comparison,17C,26C,6,6,25.87,,10.93,41.07,22.13,,7.73,36.27,,,CI,,,,,,,,,,,,,,,,,Figure 4,"Authors test a natural range of temperatures, gradient direction based on expectations of future global warming in which the paper is framed. Only shows Infected demographicand graph also shows malformation"
446,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_FW_Bacteria_25C,25C_FW_Bacteria_25C,3,3,0,0,,,66.51,12.13,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
447,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_FW_Bacteria_30C,25C_FW_Bacteria_30C,3,3,0,0,,,46.59,7.38,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
448,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_SW_Bacteria_25C,25C_SW_Bacteria_25C,3,3,0,0,,,57.21,18.76,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
449,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_SW_Bacteria_30C,25C_SW_Bacteria_30C,3,3,0,0,,,33.66,10.75,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
450,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_FW_Bacteria_25C,30C_SW_Bacteria_25C,3,3,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
451,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,30C_FW_Bacteria_30C,30C_SW_Bacteria_30C,3,3,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
452,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,25C_FW_Bacteria_25C,25C_SW_Bacteria_25C,3,3,66.51,12.13,,,57.21,18.76,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
453,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Percent mortality,Survivorship,Infected demographic,yes,Comparison,25C_FW_Bacteria_30C,25C_SW_Bacteria_30C,3,3,46.59,7.38,,,33.66,10.75,,,,,SE,,,,,,,,,,,,,,,,,FIG 1A,No explicit information on gradient direction. Decided that control is 30 degress because tilapia usually live in temperatures of 28-30 degrees
454,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_FW_Bacteria_25C,25C_FW_Bacteria_25C,5,5,0,0,,,3.79,0.31,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
455,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_FW_Bacteria_30C,25C_FW_Bacteria_30C,5,5,0,0,,,5.15,1.43,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
456,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_SW_Bacteria_25C,25C_SW_Bacteria_25C,5,5,0,0,,,3.15,0.94,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
457,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Temperature,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_SW_Bacteria_30C,25C_SW_Bacteria_30C,5,5,0,0,,,5.25,0.61,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
458,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_FW_Bacteria_30C,30C_SW_Bacteria_30C,5,5,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
459,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,30C_FW_Bacteria_25C,30C_SW_Bacteria_25C,5,5,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
460,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,25C_FW_Bacteria_25C,25C_SW_Bacteria_25C,5,5,3.79,0.31,,,3.15,0.94,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
461,Soto et al. 2012 DisAquatOrg,55,"SA,MK",Oreochromis niloticus,Fish,Francisella noatunensis subsp. orientalis,Bacteria,Experimental,Salinity,Environment,Load Viral Concentration,Intensity,Epidemiological,yes,Comparison,25C_FW_Bacteria_30C,25C_SW_Bacteria_30C,5,5,5.15,1.43,,,5.25,0.61,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"Looked at both temperature and salinity for epidemiolgical trait. No explicit information on gradient direction, host is primarily freshwater, so freshwater is control"
462,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Log Viral Copies ,Intensity,Epidemiological,yes,ANOVA,16C_S1_18dpi,22C_S2_18dpi,3,3,1.32,0.33,,,6.49,0.45,,,,,SE,,,,,,,,,,,,,,,,,Figure 2A,Took end points for S2 and compared to same time point for S1 control 
463,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Log Viral Copies ,Intensity,Epidemiological,yes,ANOVA,16C_S1_22dpi,22C_S3_22dpi,3,3,0.72,0.15,,,6.3,0.22,,,,,SE,,,,,,,,,,,,,,,,,Figure 2A,Took end points for S3 and compared to same time point for S1 control 
464,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Log Viral Copies ,Intensity,Epidemiological,yes,ANOVA,16C_S1_26dpi,22C_S4_26dpi,3,3,1.05,0.19,,,6.33,0.52,,,,,SE,,,,,,,,,,,,,,,,,Figure 2A,Took end points for S4 and compared to same time point for S1 control 
465,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Percent Survival ,Survivorship,Infected demographic,yes,ANOVA,16C_S1_18dpi,22C_S2_18dpi,40,40,,,,,,,,,40,13,OR,,,,,,,,,,,,,,,,,Figure 2B,Matched viral copy time point and listed mean percent survival as well as converted percent alive to number of alive fish. There was no SE bars on this graph so left that blank 
466,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Percent Survival ,Survivorship,Infected demographic,yes,ANOVA,16C_S1_22dpi,22C_S3_22dpi,40,40,,,,,,,,,40,28,OR,,,,,,,,,,,,,,,,,Figure 2B,Matched viral copy time point and listed mean percent survival as well as converted percent alive to number of alive fish. There was no SE bars on this graph so left that blank 
467,Zhang & Sun. 2017 FishShellfishImmunol,56,KN,Scophthalmus maximus,Fish,Megalocytivirus,Virus,Experimental,Temperature,Environment,Percent Survival ,Survivorship,Infected demographic,yes,ANOVA,16C_S1_26dpi,22C_S4_26dpi,40,40,,,,,,,,,40,30,OR,,,,,,,,,,,,,,,,,Figure 2B,Matched viral copy time point and listed mean percent survival as well as converted percent alive to number of alive fish. There was no SE bars on this graph so left that blank 
468,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,no,,25_Const_D,15_Const_D,9,10,,,,,,,,,1,0,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
469,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,no,,25_Const_W,15_Const_W,5,5,,,,,,,,,1,0,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
470,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Mortality,Survivorship,Uninfected demographic,no,,15_Const_D,15_Const_W,10,5,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
471,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Mortality,Survivorship,Uninfected demographic,no,,25_Const_D,25_Const_W,9,5,,,,,,,,,1,1,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
472,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,no,,25_Const_D_Bd,15_Const_D_Bd,10,10,,,,,,,,,3,1,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
473,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,no,,25_Const_W_Bd,15_Const_W_Bd,5,5,,,,,,,,,1,4,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
474,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Mortality,Survivorship,Infected demographic,no,,15_Const_D_Bd,15_Const_W_Bd,10,5,,,,,,,,,1,4,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
475,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Mortality,Survivorship,Infected demographic,no,,25_Const_D_Bd,25_Const_W_Bd,10,5,,,,,,,,,3,1,OR,,,,,,,,,,,,,,,,,Excel with raw data,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
476,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Log Bd abundance,Intensity,Epidemiological,no,,25_Const_D_Bd,15_Const_D_Bd,10,10,7.26,4.87,,,9.69,5.84,,,,,SE,,,,,,,,,,,,,,,,,Figure S2b,"Authors test temperature shift, but I only extracted acclimation temperature. The higher temperature is considered as the control beacuse the authors say in the intro that at lower values Bd grows more because of a suboptimal immune respose at those temperatures. Only extracted data from Bd load from day 28, and the mortality data until that same day"
477,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Log Bd abundance,Intensity,Epidemiological,no,,25_Const_W_Bd,15_Const_W_Bd,5,5,11.31,7.14,,,38.23,2.92,,,,,SE,,,,,,,,,,,,,,,,,,
478,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Log Bd abundance,Intensity,Epidemiological,no,,15_Const_D_Bd,15_Const_W_Bd,10,5,9.69,5.84,,,38.23,2.92,,,,,SE,,,,,,,,,,,,,,,,,,
479,Raffel et al. 2015. Proc R Soc B,57,AVS,Notophthalmus viridescens,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Humidity,Environment,Log Bd abundance,Intensity,Epidemiological,no,,25_Const_D_Bd,25_Const_W_Bd,10,5,7.26,4.87,,,11.31,7.14,,,,,SE,,,,,,,,,,,,,,,,,,
480,Perrigault et al. 2012 Journal of Invertebrate Pathology,58,BW,Mercenaria mercenaria,Mollusc,Quahog parasite unknown,Protozoan,Experimental,Salinity,Environment,Prevalence,Prevalence,Epidemiological,yes,Contingency table,Natural_infection_30psu,Natural_infection_17psu,30,30,,,,,,,,,4,4,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1b,"Direction of gradient not explicit, but authors frame the study in term of investigating effects of high salilnity. Clams were naturally infected and exposed to salinity treatments in the lab"
481,Perrigault et al. 2012 Journal of Invertebrate Pathology,58,BW,Mercenaria mercenaria,Mollusc,Quahog parasite unknown,Protozoan,Experimental,Salinity,Environment,Mortality,Survivorship,All host demographic,yes,Contingency table,Natural_infection_30psu,Natural_infection_17psu,120,120,,,,,,,,,20,4,OR,,,,,,,,,,,,,,,,,Results p2 ,"Direction of gradient not explicit, but authors frame the study in term of investigating effects of high salilnity. Clams were naturally infected and exposed to salinity treatments in the lab"
482,Perrigault et al. 2012 Journal of Invertebrate Pathology,59,BW,Mercenaria mercenaria,Mollusc,Quahog parasite unknown,Protozoan,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,Challenge_30_psu,Challenge_17_psu,120,120,,,,,,,,,6,11,OR,,,,,,,,,,,,,,,,,Results p1 ,"Direction of gradient not explicit, but authors frame the study in term of investigating effects of high salilnity. Clams were challenged with pathogen and exposed to salinity treaments in the lab. Results give percentage mortality, which I transformed to numbers based on N"
483,Perrigault et al. 2012 Journal of Invertebrate Pathology,59,BW,Mercenaria mercenaria,Mollusc,Quahog parasite unknown,Protozoan,Experimental,Salinity,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,Infection_control_30_psu,Infection_control_17_psu,120,120,,,,,,,,,1,10,OR,,,,,,,,,,,,,,,,,Results p1 ,"Direction of gradient not explicit, but authors frame the study in term of investigating effects of high salilnity. Clams were uninfected and exposed to salinity treaments in the lab. Results give percentage mortality, which I transformed to numbers based on N"
484,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,7_days_Normal_oxygen,7_days_Reduced_oxygen,65,65,,,,,,,,,0,1,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
